PIB per cápita en dólares (ajustados a dólares de 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Banco Mundial (https://data.worldbank.org/indicator/NY.GDP.PCAP.KD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,2571,2628,2679,2659,2774,2783,2694,2737,2709,2753,2858,2952,3012,3336,3607,3893,4069,4025,4143,4186,4230,4354,4270,4150,4153,4211,4250,4137,4276,4217,4270,4350,4341,4328,4413,4415,4396,4491,4544,4244,4209,4299,4397,4441,4725,4893,5023,5048,5281,5225,5324,5655,5885,6084,6218,6124,5947,5981,5952,5854,5316
El Salvador,NA,NA,NA,NA,NA,2636,2745,2814,2827,2847,2855,2889,2989,3057,3145,3163,3250,3398,3507,3298,2727,2530,2334,2337,2336,2319,2293,2320,2334,2326,2406,2409,2543,2655,2743,2839,2831,2892,2942,2981,2993,2999,3029,3060,3072,3140,3262,3308,3364,3280,3335,3447,3529,3591,3636,3706,3781,3847,3921,3994,3632
Emiratos Árabes Unidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99453,99607,104937,90890,98553,111574,108563,95338,86109,85033,77644,62368,60813,55816,59120,66024,62854,61295,58633,59365,60169,60549,62265,59298,57875,60716,58422,56815,57932,57910,53845,51197,45389,40755,34580,32535,33246,33997,35496,36996,38663,39400,39799,39671,40438,37498
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,585,716,741,813,877,888,876,828,870,857,796,772,762,731,722,638,650,654,701,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eslovaquia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6655,6756,7147,7542,8024,8484,8818,8800,8915,9222,9641,10178,10717,11426,12396,13734,14488,13679,14526,14890,15067,15149,15547,16342,16636,17106,17730,18167,17361
Eslovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13276,13710,14422,14927,15712,16241,16737,17302,17803,18568,19239,20280,21575,22297,20428,20613,20747,20157,19922,20454,20890,21541,22564,23476,24071,22899
España,6215,6887,7503,8151,8499,8933,9482,9773,10282,11088,11436,11825,12648,13483,14086,14010,14321,14576,14648,14525,14727,14604,14697,14885,15088,15382,15835,16670,17482,18297,18970,19404,19488,19187,19551,20002,20449,21117,21954,22847,23938,24708,25026,25311,25655,26146,26763,27219,27026,25779,25703,25403,24635,24361,24772,25742,26500,27224,27726,28102,24939
Estados Unidos,19135,19254,20116,20701,21600,22697,23894,24227,25137,25664,25295,25800,26868,28115,27709,27380,28583,29605,30915,31543,31162,31641,30775,31893,33906,35009,35888,36799,37989,39014,39303,38740,39552,40108,41215,41821,42896,44268,45716,47361,48746,48727,49095,50036,51485,52790,53738,54300,53854,51996,52963,53395,54213,54831,55675,56763,57293,58215,59600,60687,58060
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7138,7602,8692,9157,9091,9960,10626,11417,12362,13283,14631,16155,17459,16608,14205,14586,15693,16257,16553,17097,17402,17946,18962,19678,20408,19767
Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,1074,1099,1164,1195,1320,1253,1226,1202,1199,1304,1444,1411,1380,1414,1418,1538,1704,1757,1922,2258,2236,2250,2266,2270,2330,2371,2400,2421,2456,2472,2477,2572,2662,2749,2902,3060,3175,3179,3206,3304,3356,3513,3624,3630,3680,3686,3725,3775,3833,3723
Etiopía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,298,313,294,253,269,297,289,278,276,248,218,238,237,244,265,265,249,254,262,276,272,259,286,310,335,363,391,414,453,490,518,556,596,641,682,728,757,800,827
Fiji,2197,2197,2199,2260,2295,2169,2112,2337,2467,2478,2734,2862,3012,3294,3312,3265,3292,3423,3424,3767,3626,3763,3446,3227,3423,3213,3429,3188,3214,3445,3625,3494,3662,3688,3822,3868,4008,3878,3892,4202,4107,4174,4301,4339,4559,4570,4620,4535,4532,4426,4524,4627,4683,4902,5172,5391,5499,5760,5938,5869,4944
